A3 paid more than C2's client.,2
A2 paid 20 dollars more than C0's client.,2
A3 paid 10 dollars less than C1's client.,2
C1's client A3 and A1 were all different clients.,3
A3 was either the person who paid B3 or C0's client.,1
A3 will leave sometime after A1.,2
A3 will leave 1 month before the ambassador with the C1 visit.,2
A0 is either the person leaving in B0 or the ambassador with the C0 visit.,1
A1 will leave 1 month before the ambassador with the C0 visit.,2
the ambassador with the C0 visit will leave sometime before the ambassador with the C2 visit.,2
the A3 the rocket that will launch in B1 and the rocket that will launch in B0 are all different rockets.,3
the A1 is made by C3.,0
the rocket developed by C0 will launch 1 month before the A2.,2
the rocket that will launch in B0 is made by C2.,0
the report from C3 was either the B0 report or A1's report.,1
A2's report was submitted sometime after A3's sighting.,2
the B1 sighting was from C0.,0
the report from C2 was submitted 1 day before the sighting from C0.,2
A0's report was received on B3.,0
B3 is either the condor with a wingspan of A0 or the C1-year-old bird.,1
the condor with a wingspan of A3 is C1 years old.,0
B1 has a wingspan of A3.,0
the four condors are the C3-year-old bird B1 B0 and the condor with a wingspan of A1.,3
the C3-year-old bird has a wingspan C0 inches shorter than the C0-year-old bird.,2
A3 paid more than C2's client.,2
A2 paid 20 dollars more than C0's client.,2
A3 paid 10 dollars less than C1's client.,2
C1's client A3 and A1 were all different clients.,3
A3 was either the person who paid B3 or C0's client.,1
A3 will leave sometime after A1.,2
A3 will leave 1 month before the ambassador with the C1 visit.,2
A0 is either the person leaving in B0 or the ambassador with the C0 visit.,1
A1 will leave 1 month before the ambassador with the C0 visit.,2
the ambassador with the C0 visit will leave sometime before the ambassador with the C2 visit.,2
the A3 the rocket that will launch in B1 and the rocket that will launch in B0 are all different rockets.,3
the A1 is made by C3.,0
the rocket developed by C0 will launch 1 month before the A2.,2
the rocket that will launch in B0 is made by C2.,0
the report from C3 was either the B0 report or A1's report.,1
A2's report was submitted sometime after A3's sighting.,2
the B1 sighting was from C0.,0
the report from C2 was submitted 1 day before the sighting from C0.,2
A0's report was received on B3.,0
B3 is either the condor with a wingspan of A0 or the C1-year-old bird.,1
the condor with a wingspan of A3 is C1 years old.,0
B1 has a wingspan of A3.,0
the four condors are the C3-year-old bird B1 B0 and the condor with a wingspan of A1.,3
the C3-year-old bird has a wingspan C0 inches shorter than the C0-year-old bird.,2
the B2 is a C0.,0
the B0 is either the A2 wine or the C3.,1
the B1 is a C3.,0
of the C2 and the A0 bottle one is the B2 and the other is the B3.,4
the C2 was bottled 4 years after the C1.,2
A0's sighting was submitted 2 days after A1's report.,2
of the B3 report and the B1 sighting one was reported by A3 and the other was from C3.,4
the report from C0 was submitted 1 day after the sighting from C2.,2
the sighting from C3 was either the B3 report or A2's sighting.,1
the A1 drove 25 miles farther than the automobile with a high speed of C2.,2
the A2 drove 25 miles farther than the automobile with a high speed of C1.,2
the A0 drove somewhat less than the automobile with a high speed of C3.,2
the car with a high speed of C1 drove somewhat farther than the automobile with a high speed of C3.,2
the B3 tall waterfall is either the waterfall in C1 or the waterfall located in C2.,1
A3 is B0 tall.,0
A2 is 10 ft taller than A1.,2
the waterfall in C0 is somewhat shorter than A1.,2
the waterfall in C0 is 10 ft shorter than the waterfall located in C1.,2
C0's pack is either the A0 pack or the B0 pack.,1
C1's pack is made by B0.,0
C2's pack is either the A3 pack or the B3 pack.,1
C2's pack is 10 liters larger than the B1 pack.,2
the A1 pack is made by B1.,0
the prospector who found B0 ounces of gold was either the prospector working at C2 or the prospector working at C1.,1
the prospector who found B3 ounces of gold worked at the C2 claim.,0
A2 found B1 ounces of gold.,0
the miner working at C0 finished with 6 ounces more gold than A0.,2
A3 finished with somewhat less gold than A1.,2
A0 served 25 fewer riders than A1.,2
the worker who served B3 works in the C3 section.,0
of the person who works in the C1 section and the person who served B2 one is A0 and the other is A1.,4
A3 is either the employee who served B0 or the employee who works in the C2 section.,1
the student who spoke for B3 talked about C1.,0
A0 was either the presenter who spoke for B2 or the presenter who gave the presentation on C2.,1
A2 spoke 4 minutes more than the presenter who gave the presentation on C2.,2
A1 was either the presenter who spoke for B2 or the student who gave the presentation on C2.,1
the presenter who gave the presentation on C0 spoke 2 minutes less than A1.,2
A1 started 6 years before the C2.,2
the player who started in B2 was either the C2 or A1.,1
A0 began playing in B3.,0
the player who started in B0 was the C3.,0
A2 was either the C0 or the player who started in B1.,1
A1 paid less than A0.,2
A2 had the C2.,0
the one who had the C0 paid 1 dollar more than A2.,2
A1 paid more than the one who had the C0.,2
the one who had the C3 paid 1 dollar more than the one who had the C0.,2
A1 will leave sometime after A0.,2
A1 will leave sometime before the ambassador with the C1 visit.,2
A3 will leave 1 month before the ambassador with the C0 visit.,2
the ambassador with the C2 visit will leave 2 months before A3.,2
the A3 impact crater is B1 wide.,0
the B2 wide one is either the C1 impact crater or the C2 impact crater.,1
the C1 impact crater is 25 meters wider than the C0 impact crater.,2
the C3 impact crater is either the A2 impact crater or the B2 wide one.,1
the A0 impact crater was formed during the C0 period.,0
A3 wore the C0 shirt.,0
the contestant in the C2 shirt finished 1 minute after A0.,2
A3 finished 2 minutes after A1.,2
the contestant in the C3 shirt finished 1 minute before A1.,2
A2 is 1 year older than A0.,2
A2 the centenarian who is B0 old and the person who is B1 old are all different people.,3
the C2 native is older than A1.,2
A1 is older than the C1 native.,2
the person who is B2 old is a native of C3.,0
A2 threw the C1 darts.,0
A0 scored 7 points higher than A1.,2
the contestant who threw the C3 darts scored somewhat higher than the player who threw the C2 darts.,2
the player who scored B1 points threw the C3 darts.,0
A2 scored 7 points higher than A3.,2
the C1 facility holds more people than A1 arena.,2
the C0 facility holds 80 more people than A2 arena.,2
A3 arena holds B3 people.,0
A1 arena holds 40 fewer people than A2 arena.,2
the facility with seating for B2 people is either the C2 facility or A1 arena.,1
the butterfly that was auctioned C2 sold for 20 dollars less than the insect won by A0.,2
the four butterflies were the insect that sold for B1 the butterfly that was auctioned C1 the butterfly that was auctioned C2 and the butterfly won by A2.,3
the butterfly won by A1 was the C3 lot.,0
B2 paid less than B1.,2
B1 paid A1.,0
the competitor who ordered C2 paid 2 dollars more than the competitor who ordered C3.,2
of the runner who paid A3 and the contestant who ordered C0 one was B1 and the other was B3.,4
the worker who works in the C1 section served more riders than A0.,2
A1 served 25 fewer riders than A3.,2
A0 served more riders than A1.,2
the person who works in the C3 section served 25 more riders than the worker who works in the C2 section.,2
A1 is either the person who served B3 or the person who works in the C0 section.,1
the B1 was ranked 1 place behind the C0 team.,2
of the B2 and the C2 team one finished A0 and the other finished A3.,4
the C1 team is either the B0 or the B3.,1
the C0 team was ranked 1 place behind the B3.,2
the project headed by C1 will go online sometime before the B3.,2
the project headed by C3 will go online 1 year before the B0.,2
the B1 will go online 1 year after the B2.,2
the project headed by C2 will go online 1 year after the B2.,2
A0 is either the skydiver who wears the C2 suit or the jumper who started in B0.,1
the skydiver who wears the C1 suit started skydiving 1 year before A1.,2
the jumper who wears the C3 suit started skydiving sometime after A2.,2
the jumper who wears the C0 suit started skydiving sometime after the jumper who wears the C3 suit.,2
the jumper who wears the C1 suit started skydiving 2 years before A3.,2
the presenter who gave the presentation on C2 spoke 4 minutes more than A1.,2
A2 spoke 4 minutes more than the student who gave the presentation on C3.,2
A1 talked about C1.,0
A1 spoke 2 minutes less than A3.,2
the four people are the person who started in B0 A1 A0 and C1.,3
C0 began 1 year after A3.,2
the person who started in B2 is C0.,0
A1 is C2.,0
the person who danced C3 scored somewhat higher than the dancer who performed C1.,2
the dancer who performed C0 scored 3 points lower than the dancer who performed C1.,2
A3 scored somewhat lower than A1.,2
A2 was either the dancer who performed C1 or the person who danced C2.,1
of A0 and A3 one scored B1 and the other danced C3.,4
the B0 finished A0.,0
the B0 was ranked 1 place ahead of the C0 team.,2
the B3 uses C3 paintballs.,0
of the B2 and the C1 team one finished A2 and the other finished A1.,4
the passenger with the C3 is either A2 or A1.,1
the four fliers are the passenger with the C1 the passenger leaving in B3 A3 and the passenger leaving in B1.,3
the aerophobe leaving in B2 is either the aerophobe with the C3 or the passenger with the C2.,1
the passenger with the C1 will leave 1 month before the passenger with the C0.,2
A1 will leave in B1.,0
A1 was discovered in B2.,0
A3 was discovered in B1.,0
A1 was discovered 14 years after the island on which the C3 people lived.,2
the island on which the C2 people lived was discovered 7 years after A0.,2
the island discovered in B2 was either the island on which the C0 people lived or A0.,1
A0 had B1 goals this season.,0
the four players are A3 the player from the C2 the player from the C3 and the player from the C0.,3
A1 scored 1 goal more than A2.,2
the player with B3 goals is from the C2.,0
A0 is either the player from the C0 or the player with B0 goals.,1
the A1 will launch 1 month after the A3.,2
of the A2 and the rocket that will launch in B0 one is made by C3 and the other is made by C1.,4
the rocket developed by C2 will launch 2 months after the rocket developed by C3.,2
the rocket that will launch in B1 is either the A3 or the rocket developed by C0.,1
the model made by A3 costs 25 dollars more than the model made by A2.,2
the camera made by A2 is either the C3 or the C2.,1
of the B2 model and the C1 one is made by A2 and the other is made by A1.,4
the C3 costs less than the C1.,2
B1 is 18 years younger than the C3 tortoise.,2
the A3 year old animal is the C1 tortoise.,0
B0 is A1 years old.,0
of B1 and B3 one is A0 years old and the other is the C1 tortoise.,4
the C2 tortoise is younger than B0.,2
the team from A2 finished with B3 gold medals.,0
the squad that won B1 gold medals ended with C2 silver medals.,0
the four teams were the squad from A3 the team that won 3 gold medals the squad that won C2 silver medals and the squad that won C3 silver medals.,3
the team from A0 ended the games with B0 fewer gold medal than the squad that won C1 silver medals.,2
the A2 crater is B2 wide.,0
the A1 crater was formed during the C0 period.,0
the A1 crater is 50 meters wider than the C2 crater.,2
the A0 crater is 25 meters smaller than the C3 crater.,2
A1 paid 1 dollar less than the one who got the C3.,2
the diner who paid B0 had the C1.,0
A0 paid more than the one who got the C0.,2
the diner who paid B1 was either the one who got the C0 or the one who got the C1.,1
the four diners were the diner who paid B1 the one who got the C1 the one who got the C2 and A3.,3
the A3 years old was the C3.,0
of the C3 and the C0 one was A0 years old and the other was B2.,4
B0 was 1 year younger than B1.,2
the A2 years old was the C2.,0
the C1 was 1 year older than B0.,2
the C2 expert is scheduled 1 day after A1.,2
the C1 expert is scheduled 1 day before A0.,2
A2 will discuss C0.,0
A3 is scheduled 2 days after the C2 expert.,2
A2's study starts 2 months after the project on the C2.,2
of the assignment on the C1 and the assignment on the C0 one is A1's assignment and the other starts in B0.,4
the study on the C1 starts 2 months after A0's project.,2
the four books are A1's book the book due on B3 C0 and the book due on B2.,3
C1 is either A3's book or the book due on B1.,1
of C1 and the title due on B3 one was taken out by A0 and the other was taken out by A3.,4
A2's book was due 2 weeks before C2.,2
the puzzle with the C0 theme has somewhat more than the jigsaw puzzle with the C3 theme.,2
the four puzzles are the puzzle made by A0 the jigsaw puzzle with the C3 theme the puzzle with the C0 theme and the puzzle with B3 pieces.,3
the jigsaw puzzle made by A0 has the C2 theme.,0
the jigsaw puzzle made by A1 has somewhat fewer than the jigsaw puzzle with the C2 theme.,2
the jigsaw puzzle made by A3 has B0 more pieces than the puzzle made by A1.,2
of the A1 tree and the C1 years old tree one is B2 and the other is B3.,4
the C2 years old tree is taller than B3.,2
of B0 and the A3 tree one is C0 years old and the other is C3 years old.,4
the C2 years old tree is 3 feet shorter than the C0 years old tree.,2
the C1 won 1 year after A2's canine.,2
A3's dog won 1 year before the C2.,2
A3's canine is the C0.,0
the four dogs are the dog that won in B0 the C1 the C0 and A1's dog.,3
the worker who works in the C1 section served 25 more riders than A0.,2
of the employee who works in the C2 section and the worker who works in the C3 section one served B0 and the other is A2.,4
the employee who works in the C1 section is either A3 or the worker who served B2.,1
the person who works in the C3 section served 50 more riders than A3.,2
A2 served more riders than the worker who works in the C0 section.,2
A1 played B1 games.,0
A3 played C1.,0
the player who played C3 played 2 more games than the person who played C0.,2
A0 played 2 more games than the player who played C0.,2
A0 was either the boy who played B1 games or the person who played B2 games.,1
